Tarih,Ürün,Kategori,Miktar,Birim Fiyat,Toplam,Müşteri,Bölge,Ödeme Durumu,Kargo,Notlar,Ay
2024-03-08,Arpa Tohumu,Tahıl,480,20,9600,XYZ Çiftlik,Konya,Ödendi,Teslim Edildi,,Mart
2024-03-10,Domates Tohumu,Sebze,230,45,10350,Bahçe Market,İstanbul,Ödendi,Teslim Edildi,Sera tipi,Mart
2024-03-12,Salatalık Tohumu,Sebze,200,35,7000,Yeşil Bahçe,Bursa,Ödendi,Teslim Edildi,Organik sertifikalı,Mart
2024-03-15,Buğday Tohumu,Tahıl,640,25,16000,Çiftçi Kooperatifi,Ankara,Ödendi,Teslim Edildi,,Mart
2024-03-18,Mısır Tohumu,Tahıl,370,30,11100,Mega Tarım,İzmir,Bekliyor,Hazırlanıyor,,Mart
2024-03-20,Patlıcan Tohumu,Sebze,140,50,7000,Organik Üretim,İstanbul,Ödendi,Teslim Edildi,,Mart
2024-03-22,Biber Tohumu,Sebze,180,40,7200,ABC Tarım,Antalya,Ödendi,Teslim Edildi,,Mart
2024-03-25,Domates Tohumu,Sebze,240,45,10800,XYZ Çiftlik,İstanbul,Ödendi,Teslim Edildi,Sera tipi,Mart
2024-03-28,Buğday Tohumu,Tahıl,660,25,16500,Bahçe Market,Ankara,Bekliyor,Hazırlanıyor,,Mart
2024-03-30,Arpa Tohumu,Tahıl,500,20,10000,Yeşil Bahçe,Konya,Ödendi,Teslim Edildi,,Mart
2024-04-02,Mısır Tohumu,Tahıl,380,30,11400,Çiftçi Kooperatifi,İzmir,Ödendi,Teslim Edildi,,Nisan
2024-04-05,Salatalık Tohumu,Sebze,210,35,7350,Mega Tarım,Bursa,Ödendi,Teslim Edildi,Organik sertifikalı,Nisan
2024-04-08,Buğday Tohumu,Tahıl,680,25,17000,Organik Üretim,Ankara,Bekliyor,Hazırlanıyor,,Nisan
2024-04-10,Biber Tohumu,Sebze,190,40,7600,ABC Tarım,Antalya,Ödendi,Teslim Edildi,,Nisan
2024-04-12,Domates Tohumu,Sebze,250,45,11250,XYZ Çiftlik,İstanbul,Ödendi,Teslim Edildi,Sera tipi,Nisan
2024-04-15,Mısır Tohumu,Tahıl,390,30,11700,Bahçe Market,İzmir,Ödendi,Teslim Edildi,,Nisan
2024-04-18,Patlıcan Tohumu,Sebze,150,50,7500,Yeşil Bahçe,İstanbul,Bekliyor,Hazırlanıyor,,Nisan
2024-04-20,Buğday Tohumu,Tahıl,700,25,17500,Çiftçi Kooperatifi,Ankara,Ödendi,Teslim Edildi,,Nisan
2024-04-22,Arpa Tohumu,Tahıl,520,20,10400,Mega Tarım,Konya,Ödendi,Teslim Edildi,,Nisan
2024-04-25,Salatalık Tohumu,Sebze,220,35,7700,Organik Üretim,Bursa,Ödendi,Teslim Edildi,Organik sertifikalı,Nisan
2024-04-28,Mısır Tohumu,Tahıl,400,30,12000,ABC Tarım,İzmir,Bekliyor,Hazırlanıyor,,Nisan
2024-04-30,Domates Tohumu,Sebze,260,45,11700,XYZ Çiftlik,İstanbul,Ödendi,Teslim Edildi,Sera tipi,Nisan
2024-05-02,Buğday Tohumu,Tahıl,720,25,18000,Bahçe Market,Ankara,Ödendi,Teslim Edildi,,Mayıs
2024-05-05,Biber Tohumu,Sebze,200,40,8000,Yeşil Bahçe,Antalya,Ödendi,Teslim Edildi,,Mayıs
2024-05-08,Mısır Tohumu,Tahıl,410,30,12300,Çiftçi Kooperatifi,İzmir,Bekliyor,Hazırlanıyor,,Mayıs
2024-05-10,Patlıcan Tohumu,Sebze,160,50,8000,Mega Tarım,İstanbul,Ödendi,Teslim Edildi,,Mayıs
2024-05-12,Arpa Tohumu,Tahıl,540,20,10800,Organik Üretim,Konya,Ödendi,Teslim Edildi,,Mayıs
2024-05-15,Domates Tohumu,Sebze,270,45,12150,ABC Tarım,İstanbul,Ödendi,Teslim Edildi,Sera tipi,Mayıs
2024-05-18,Buğday Tohumu,Tahıl,740,25,18500,XYZ Çiftlik,Ankara,Bekliyor,Hazırlanıyor,,Mayıs
2024-05-20,Salatalık Tohumu,Sebze,230,35,8050,Bahçe Market,Bursa,Ödendi,Teslim Edildi,Organik sertifikalı,Mayıs
2024-05-22,Mısır Tohumu,Tahıl,420,30,12600,Yeşil Bahçe,İzmir,Ödendi,Teslim Edildi,,Mayıs
2024-05-25,Biber Tohumu,Sebze,210,40,8400,Çiftçi Kooperatifi,Antalya,Ödendi,Teslim Edildi,,Mayıs
2024-05-28,Domates Tohumu,Sebze,280,45,12600,Mega Tarım,İstanbul,Bekliyor,Hazırlanıyor,Sera tipi,Mayıs
2024-05-30,Buğday Tohumu,Tahıl,760,25,19000,Organik Üretim,Ankara,Ödendi,Teslim Edildi,,Mayıs
2024-06-02,Patlıcan Tohumu,Sebze,170,50,8500,ABC Tarım,İstanbul,Ödendi,Teslim Edildi,,Haziran
2024-06-05,Mısır Tohumu,Tahıl,430,30,12900,XYZ Çiftlik,İzmir,Ödendi,Teslim Edildi,,Haziran
2024-06-08,Arpa Tohumu,Tahıl,560,20,11200,Bahçe Market,Konya,Bekliyor,Hazırlanıyor,,Haziran
2024-06-10,Salatalık Tohumu,Sebze,240,35,8400,Yeşil Bahçe,Bursa,Ödendi,Teslim Edildi,Organik sertifikalı,Haziran
2024-06-12,Buğday Tohumu,Tahıl,780,25,19500,Çiftçi Kooperatifi,Ankara,Ödendi,Teslim Edildi,,Haziran
2024-06-15,Domates Tohumu,Sebze,290,45,13050,Mega Tarım,İstanbul,Ödendi,Teslim Edildi,Sera tipi,Haziran
2024-06-18,Biber Tohumu,Sebze,220,40,8800,Organik Üretim,Antalya,Bekliyor,Hazırlanıyor,,Haziran
2024-06-20,Mısır Tohumu,Tahıl,440,30,13200,ABC Tarım,İzmir,Ödendi,Teslim Edildi,,Haziran
2024-06-22,Patlıcan Tohumu,Sebze,180,50,9000,XYZ Çiftlik,İstanbul,Ödendi,Teslim Edildi,,Haziran
2024-06-25,Buğday Tohumu,Tahıl,800,25,20000,Bahçe Market,Ankara,Ödendi,Teslim Edildi,,Haziran
2024-06-28,Arpa Tohumu,Tahıl,580,20,11600,Yeşil Bahçe,Konya,Bekliyor,Hazırlanıyor,,Haziran
2024-06-30,Domates Tohumu,Sebze,300,45,13500,Çiftçi Kooperatifi,İstanbul,Ödendi,Teslim Edildi,Sera tipi,Haziran
2024-07-02,Salatalık Tohumu,Sebze,250,35,8750,Mega Tarım,Bursa,Ödendi,Teslim Edildi,Organik sertifikalı,Temmuz
2024-07-05,Mısır Tohumu,Tahıl,450,30,13500,Organik Üretim,İzmir,Ödendi,Teslim Edildi,,Temmuz
2024-07-08,Buğday Tohumu,Tahıl,820,25,20500,ABC Tarım,Ankara,Bekliyor,Hazırlanıyor,,Temmuz
2024-07-10,Biber Tohumu,Sebze,230,40,9200,XYZ Çiftlik,Antalya,Ödendi,Teslim Edildi,,Temmuz
2024-07-12,Patlıcan Tohumu,Sebze,190,50,9500,Bahçe Market,İstanbul,Ödendi,Teslim Edildi,,Temmuz
2024-07-15,Domates Tohumu,Sebze,310,45,13950,Yeşil Bahçe,İstanbul,Ödendi,Teslim Edildi,Sera tipi,Temmuz
2024-07-18,Mısır Tohumu,Tahıl,460,30,13800,Çiftçi Kooperatifi,İzmir,Bekliyor,Hazırlanıyor,,Temmuz
2024-07-20,Buğday Tohumu,Tahıl,840,25,21000,Mega Tarım,Ankara,Ödendi,Teslim Edildi,,Temmuz
2024-07-22,Arpa Tohumu,Tahıl,600,20,12000,Organik Üretim,Konya,Ödendi,Teslim Edildi,,Temmuz
2024-07-25,Salatalık Tohumu,Sebze,260,35,9100,ABC Tarım,Bursa,Ödendi,Teslim Edildi,Organik sertifikalı,Temmuz
2024-07-28,Biber Tohumu,Sebze,240,40,9600,XYZ Çiftlik,Antalya,Bekliyor,Hazırlanıyor,,Temmuz
2024-07-30,Domates Tohumu,Sebze,320,45,14400,Bahçe Market,İstanbul,Ödendi,Teslim Edildi,Sera tipi,Temmuz
2024-08-02,Mısır Tohumu,Tahıl,470,30,14100,Yeşil Bahçe,İzmir,Ödendi,Teslim Edildi,,Ağustos
2024-08-05,Buğday Tohumu,Tahıl,860,25,21500,Çiftçi Kooperatifi,Ankara,Ödendi,Teslim Edildi,,Ağustos
2024-08-08,Patlıcan Tohumu,Sebze,200,50,10000,Mega Tarım,İstanbul,Bekliyor,Hazırlanıyor,,Ağustos
2024-08-10,Arpa Tohumu,Tahıl,620,20,12400,Organik Üretim,Konya,Ödendi,Teslim Edildi,,Ağustos
2024-08-12,Salatalık Tohumu,Sebze,270,35,9450,ABC Tarım,Bursa,Ödendi,Teslim Edildi,Organik sertifikalı,Ağustos
2024-08-15,Domates Tohumu,Sebze,330,45,14850,XYZ Çiftlik,İstanbul,Ödendi,Teslim Edildi,Sera tipi,Ağustos
2024-08-18,Buğday Tohumu,Tahıl,880,25,22000,Bahçe Market,Ankara,Bekliyor,Hazırlanıyor,,Ağustos
2024-08-20,Biber Tohumu,Sebze,250,40,10000,Yeşil Bahçe,Antalya,Ödendi,Teslim Edildi,,Ağustos
2024-08-22,Mısır Tohumu,Tahıl,480,30,14400,Çiftçi Kooperatifi,İzmir,Ödendi,Teslim Edildi,,Ağustos
2024-08-25,Patlıcan Tohumu,Sebze,210,50,10500,Mega Tarım,İstanbul,Ödendi,Teslim Edildi,,Ağustos
2024-08-28,Domates Tohumu,Sebze,340,45,15300,Organik Üretim,İstanbul,Bekliyor,Hazırlanıyor,Sera tipi,Ağustos
2024-08-30,Buğday Tohumu,Tahıl,900,25,22500,ABC Tarım,Ankara,Ödendi,Teslim Edildi,,Ağustos
2024-09-02,Arpa Tohumu,Tahıl,640,20,12800,XYZ Çiftlik,Konya,Ödendi,Teslim Edildi,,Eylül
2024-09-05,Salatalık Tohumu,Sebze,280,35,9800,Bahçe Market,Bursa,Ödendi,Teslim Edildi,Organik sertifikalı,Eylül
2024-09-08,Mısır Tohumu,Tahıl,490,30,14700,Yeşil Bahçe,İzmir,Bekliyor,Hazırlanıyor,,Eylül
2024-09-10,Buğday Tohumu,Tahıl,920,25,23000,Çiftçi Kooperatifi,Ankara,Ödendi,Teslim Edildi,,Eylül
2024-09-12,Biber Tohumu,Sebze,260,40,10400,Mega Tarım,Antalya,Ödendi,Teslim Edildi,,Eylül
2024-09-15,Domates Tohumu,Sebze,350,45,15750,Organik Üretim,İstanbul,Ödendi,Teslim Edildi,Sera tipi,Eylül
2024-09-18,Patlıcan Tohumu,Sebze,220,50,11000,ABC Tarım,İstanbul,Bekliyor,Hazırlanıyor,,Eylül
2024-09-20,Mısır Tohumu,Tahıl,500,30,15000,XYZ Çiftlik,İzmir,Ödendi,Teslim Edildi,,Eylül
2024-09-22,Buğday Tohumu,Tahıl,940,25,23500,Bahçe Market,Ankara,Ödendi,Teslim Edildi,,Eylül
2024-09-25,Arpa Tohumu,Tahıl,660,20,13200,Yeşil Bahçe,Konya,Ödendi,Teslim Edildi,,Eylül
2024-09-28,Salatalık Tohumu,Sebze,290,35,10150,Çiftçi Kooperatifi,Bursa,Bekliyor,Hazırlanıyor,Organik sertifikalı,Eylül
2024-09-30,Domates Tohumu,Sebze,360,45,16200,Mega Tarım,İstanbul,Ödendi,Teslim Edildi,Sera tipi,Eylül
2024-10-02,Buğday Tohumu,Tahıl,960,25,24000,Organik Üretim,Ankara,Ödendi,Teslim Edildi,,Ekim
2024-10-05,Biber Tohumu,Sebze,270,40,10800,ABC Tarım,Antalya,Ödendi,Teslim Edildi,,Ekim
2024-10-08,Mısır Tohumu,Tahıl,510,30,15300,XYZ Çiftlik,İzmir,Bekliyor,Hazırlanıyor,,Ekim
2024-10-10,Patlıcan Tohumu,Sebze,230,50,11500,Bahçe Market,İstanbul,Ödendi,Teslim Edildi,,Ekim
2024-10-12,Arpa Tohumu,Tahıl,680,20,13600,Yeşil Bahçe,Konya,Ödendi,Teslim Edildi,,Ekim
2024-10-15,Domates Tohumu,Sebze,370,45,16650,Çiftçi Kooperatifi,İstanbul,Ödendi,Teslim Edildi,Sera tipi,Ekim
2024-10-18,Buğday Tohumu,Tahıl,980,25,24500,Mega Tarım,Ankara,Bekliyor,Hazırlanıyor,,Ekim
2024-10-20,Salatalık Tohumu,Sebze,300,35,10500,Organik Üretim,Bursa,Ödendi,Teslim Edildi,Organik sertifikalı,Ekim
2024-10-22,Mısır Tohumu,Tahıl,520,30,15600,ABC Tarım,İzmir,Ödendi,Teslim Edildi,,Ekim
2024-10-25,Biber Tohumu,Sebze,280,40,11200,XYZ Çiftlik,Antalya,Ödendi,Teslim Edildi,,Ekim
2024-10-28,Domates Tohumu,Sebze,380,45,17100,Bahçe Market,İstanbul,Bekliyor,Hazırlanıyor,Sera tipi,Ekim
2024-10-30,Buğday Tohumu,Tahıl,1000,25,25000,Yeşil Bahçe,Ankara,Ödendi,Teslim Edildi,,Ekim
2024-11-02,Patlıcan Tohumu,Sebze,240,50,12000,Çiftçi Kooperatifi,İstanbul,Ödendi,Teslim Edildi,,Kasım
2024-11-05,Mısır Tohumu,Tahıl,530,30,15900,Mega Tarım,İzmir,Ödendi,Teslim Edildi,,Kasım
2024-11-08,Arpa Tohumu,Tahıl,700,20,14000,Organik Üretim,Konya,Bekliyor,Hazırlanıyor,,Kasım
2024-11-10,Salatalık Tohumu,Sebze,310,35,10850,ABC Tarım,Bursa,Ödendi,Teslim Edildi,Organik sertifikalı,Kasım
2024-11-12,Buğday Tohumu,Tahıl,1020,25,25500,XYZ Çiftlik,Ankara,Ödendi,Teslim Edildi,,Kasım
2024-11-15,Domates Tohumu,Sebze,390,45,17550,Bahçe Market,İstanbul,Ödendi,Teslim Edildi,Sera tipi,Kasım
2024-11-18,Biber Tohumu,Sebze,290,40,11600,Yeşil Bahçe,Antalya,Bekliyor,Hazırlanıyor,,Kasım
2024-11-20,Mısır Tohumu,Tahıl,540,30,16200,Çiftçi Kooperatifi,İzmir,Ödendi,Teslim Edildi,,Kasım
2024-11-22,Patlıcan Tohumu,Sebze,250,50,12500,Mega Tarım,İstanbul,Ödendi,Teslim Edildi,,Kasım
2024-11-25,Buğday Tohumu,Tahıl,1040,25,26000,Organik Üretim,Ankara,Ödendi,Teslim Edildi,,Kasım
2024-11-28,Arpa Tohumu,Tahıl,720,20,14400,ABC Tarım,Konya,Bekliyor,Hazırlanıyor,,Kasım
2024-11-30,Domates Tohumu,Sebze,400,45,18000,XYZ Çiftlik,İstanbul,Ödendi,Teslim Edildi,Sera tipi,Kasım
2024-12-02,Salatalık Tohumu,Sebze,320,35,11200,Bahçe Market,Bursa,Ödendi,Teslim Edildi,Organik sertifikalı,Aralık
2024-12-05,Mısır Tohumu,Tahıl,550,30,16500,Yeşil Bahçe,İzmir,Ödendi,Teslim Edildi,,Aralık
2024-12-08,Buğday Tohumu,Tahıl,1060,25,26500,Çiftçi Kooperatifi,Ankara,Bekliyor,Hazırlanıyor,,Aralık
2024-12-10,Biber Tohumu,Sebze,300,40,12000,Mega Tarım,Antalya,Ödendi,Teslim Edildi,,Aralık
2024-12-12,Patlıcan Tohumu,Sebze,260,50,13000,Organik Üretim,İstanbul,Ödendi,Teslim Edildi,,Aralık
2024-12-15,Domates Tohumu,Sebze,410,45,18450,ABC Tarım,İstanbul,Ödendi,Teslim Edildi,Sera tipi,Aralık
2024-12-18,Mısır Tohumu,Tahıl,560,30,16800,XYZ Çiftlik,İzmir,Bekliyor,Hazırlanıyor,,Aralık
2024-12-20,Buğday Tohumu,Tahıl,1080,25,27000,Bahçe Market,Ankara,Ödendi,Teslim Edildi,,Aralık
2024-12-22,Arpa Tohumu,Tahıl,740,20,14800,Yeşil Bahçe,Konya,Ödendi,Teslim Edildi,,Aralık
2024-12-25,Salatalık Tohumu,Sebze,330,35,11550,Çiftçi Kooperatifi,Bursa,Ödendi,Teslim Edildi,Organik sertifikalı,Aralık
2024-12-28,Biber Tohumu,Sebze,310,40,12400,Mega Tarım,Antalya,Bekliyor,Hazırlanıyor,,Aralık
2024-12-30,Domates Tohumu,Sebze,420,45,18900,Organik Üretim,İstanbul,Ödendi,Teslim Edildi,Sera tipi,Aralık
